ADOPT,Adoption_1,Adoption_2,Adoption_3,AFFECT,Affect_1,Affect_2,Affect_3,Affect_4,Affect_5,Affect_6,AGE,AROUSAL,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,Arousal_6,ATTITUDE,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Browser,BrowserCode_Safari,BrowserCode_SafariIphone,BrowserVersion,Clicks_High,Clicks_Low,comm1,comm2,comm3,comm4,comm5,comm6,COMMENTBOX,COMMUNCATION,control1,control2,control3,control4,control5,CONTROL,COURSES,DOMINANCE,Dominance_1,Dominance_2,Dominance_3,Dominance_4,Dominance_5,Dominance_6,DURATION_BOOK,DURATION_SURVEY,EASE,Ease_1,Ease_2,Ease_3,Ease_4,education,efficacy1,efficacy2,efficacy3,EFFICACY,EndDate,FlashVersion,Hours_Dig,Hours_Int,Hours_Read,Income,INT_MANIP,INTLEVEL,involve1,involve2,involve3,involve4,INVOLVEMENT,IPAD,iPAD_D,IPAddress,Java,KINDLE,Kindle_D,know1,know2,Native,num_books,OperatingSystem,PERCINT,PLEASURE,Pleasure_1,Pleasure_2,Pleasure_3,Pleasure_4,Pleasure_5,Pleasure_6,PRIOR_KNOW,PU_PRINT,pup1,pup2,pup3,QualtricsID,RAttitude_1,RAttitude_2,RAttitude_3,RAttitude_4,READATTITUDE,Resolution,RISK,Risk_1,Risk_2,Risk_3,Risk_4,SEX,StartDate,StudyID,SurveyLength,SYNCH,Synchronic1,Synchronic2,Synchronic3,Synchronic4,Synchronic5,Think_Book,Think_Stud,TimeFirst_High,TimeFirst_Low,TimeLast_High,TimeLast_Low,TimeSubmit_High,TimeSubmit_Low,USEFUL,Usefulness_1,Usefulness_2,Usefulness_3,Usefulness_4,UserAgent,VIVID,Vividness_1,Vividness_2,Vividness_3,year_born,DigitalNative,INVOLVEMENT_Involvement_binned,PERCINT_Involvement_binned,READATTITUDE_Involvement_binned,RISK_Involvement_binned,INVOLVEMENT_bin,PERCINT_bin,READATTITUDE_bin,RISK_bin
3.33333333333333,3,2,5,4.33333333333333,5,2,5,5,6,3,27,3,2,2,3,4,5,2,5.75,5,6,6,6,Firefox,0,0,8,3, ,3,3,3,2,2,3,2,2.6,6,3,5,6,2,4.4,72,4.16666666666667,2,2,5,5,5,6,27.117,.13361111,5.5,6,7,3,6,4,5,5,5,5,11/29/2011,11.0.1,24,35,25,3,5,1,4,7,6,6,5.75,0,0,75.146.20.94,1,0,0,3,3, ,20,rv:8.0,-1.59099806755556,4,5,5,3,3,2,6,3,6.66666666666667,6,7,7,R_9ZEKu142jcm21KI,7,7,7,7,7,1024x768,1.25,2,1,1,1,0,11/29/2011,129,0:08:00,4,6,3,3,2,6,Interesting,Nope,3.736, ,30.851, ,30.853, ,3.75,6,3,3,3,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,5,6,4,5,1984, ,2,1,2,1,2,1,2,1
3.33333333333333,3,4,3,5,5,5,5,5,5,5,29,4.66666666666667,5,5,4,4,5,5,5,5,5,5,5,Firefox,0,0,8, ,2,1,1,3,2,3,1, ,2,7,6,5,6,6,6,60,3.83333333333333,4,4,5,3,4,3,148.698,.3538889,6,6,6,6,6,4,5,7,7,6.33333333333333,11/28/2011,11.1.102,12,40,20,1,1,0,4,7,6,6,5.75,0,0,69.60.122.21,1,1,1,1,2, ,12,rv:8.0,-.868775845333334,4.16666666666667,4,4,5,4,4,4,1.5,6.66666666666667,7,6,7,R_b16eKRU1cLn0lHm,7,7,7,7,7,1280x800,2.5,1,3,1,5,1,11/28/2011,303,0:21:13,5.6,7,5,5,5,6,disappointing; too many words not enough pictures,no, ,23.543, ,172.226, ,172.241,7,7,7,7,7,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,4,2,5,5,1982, ,2,1,2,1,2,1,2,1
1.33333333333333,1,1,2,1.66666666666667,4,1,1,2,1,1,27,3,4,3,2,2,5,2,4.5,5,4,3,6, ,0,0, , ,2,1,1,2,1,3,2, ,1.6,5,5,5,5,2,4.4,80,3.83333333333333,3,4,5,4,3,4,148.729,1.4972222,2.25,1,3,3,2,4,1,1,1,1,11/29/2011, ,1,10,1,2,2,0,4,6,4,3,4.25,0,0,99.149.169.123, ,0,0,1,2, ,20, ,-1.75766473422222,3.66666666666667,5,2,2,5,4,4,1.5,6,6,6,6,R_5b8reiohXIWWkRK,7,7,7,7,7, ,5.25,6,6,7,2,1,11/29/2011,441,1:29:50,3.6,1,5,3,3,6,"It is hard for my eyes to look at a screen to read for a long time, it hurts, is straining, and I have perfect vision, so it's not a matter of needing glasses.  The book excerpt seemed very generic and it did not hold my attention well.",I love tangible books!, ,3.913, ,152.641, ,152.642,1.5,2,2,1,1, ,3.33333333333333,5,3,2,1984, ,1,1,2,2,1,1,2,2
2.66666666666667,2,3,3,1.83333333333333,1,2,2,2,2,2,31,2.16666666666667,4,4,2,1,1,1,3.25,1,4,4,4,MSIE,0,0,8,2, ,2,2,5,2,6,3,2,3.4,2,2,5,2,2,2.6,61,4,4,4,4,4,4,4,193.656,.48972222,2.25,2,2,2,3,3,7,7,7,7,11/29/2011,11.1.102.55,5,24,5,6,2,1,1,1,1,1,1,1,1,72.190.4.240,1,1,1,1,1, ,50,Windows NT 5.1,-2.64655362311111,1.66666666666667,2,2,1,2,2,1,1,1.66666666666667,2,1,2,R_djy6xhZVL9vZXwg,7,7,7,7,7,1024x768,5.5,6,6,5,5,1,11/29/2011,111,0:29:22,3.2,2,3,3,3,5,boring,no,5.985, ,199.625, ,199.641, ,2.25,2,2,2,3,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; Media Center PC 3.0; .NET CLR 1.0.3705; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),7,7,7,7,1980, ,1,1,2,2,1,1,2,2
1.33333333333333,1,1,2,2.5,3,2,3,2,2,3,27,2.5,3,3,3,2,2,2,4,4,3,3,6,MSIE,0,0,8, ,2,2,2,3,2,2,2, ,2.2,4,6,6,5,5,5.2,35,3,3,3,4,3,3,2,196.161,.23666666,5,5,5,5,5,4,5,7,6,6,11/29/2011,11.0.1.152,2,30,10,6,3,0,2,7,4,5,4.5,0,0,173.8.10.209,1,0,0,3,3, ,100,Windows NT 5.1,-1.61877584533333,3.33333333333333,4,3,3,4,4,2,3,6.33333333333333,7,6,6,R_2honZke5PoFjoCo,7,7,7,7,7,1280x1024,4.5,6,5,5,2,1,11/29/2011,409,0:14:11,3.8,3,2,3,5,6,"It wasn't book-like at all. It was like a regular website. The writing wasn't great and was a little juvenile in describing Australia as ""sexy and boozy.""", , ,4.906, ,201.067, ,201.067,3.5,5,3,3,3,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.2; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),6,6,6,6,1984, ,1,1,2,2,1,1,2,2
4,4,4,4,1.33333333333333,3,1,1,1,1,1,25,2.66666666666667,4,4,1,2,2,3,4,4,4,4,4,MSIE,0,0,9, ,2,3,1,3,1,1,1, ,1.8,7,7,3,5,5,5.4,1,4,4,4,4,4,4,4,208.607,.24972223,4,3,4,4,5,3,7,7,7,7,11/29/2011,10.3.183.7,3,100,10,1,6,0,4,5,1,1,2.75,0,0,65.205.93.92,1,0,0,4,2, ,2,Windows NT 6.1,-.896553623111111,3.66666666666667,4,4,4,4,4,2,3,4.33333333333333,5,4,4,R_cMTq1lTry5w4QfO,7,7,7,7,7,1366x768,3.25,1,4,4,4,1,11/29/2011,438,0:14:59,4.4,1,4,5,5,7,boringgggggg,nope, ,3.139, ,211.745, ,211.746,5.25,6,7,4,4,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; yie9),7,7,7,7,1986, ,1,1,2,2,1,1,2,2
4,4,4,4,4,4,4,4,4,4,4,28,4,4,4,4,4,4,4,4,4,4,4,4,MSIE,0,0,8, ,2,4,4,4,4,4,4, ,4,4,4,4,4,4,4,18,4,4,4,4,4,4,4,209.922,.4175,4,4,4,4,4,3,1,1,1,1,11/28/2011,11.1.102.55,0,4,1,1,4,0,4,4,4,4,4,0,0,24.100.81.96,1,0,0,4,4, ,7,Windows NT 5.1,-1.06322028977778,4,4,4,4,4,4,4,4,4,4,4,4,R_6FPX4jd2cQLNgrO,7,7,7,7,7,1024x768,4,4,4,4,4,0,11/28/2011,337,0:25:02,4,4,4,4,4,4,nothing,nope, ,5.766, ,215.688, ,215.688,4,4,4,4,4,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB6; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MSN Optimized;US; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; WinNT-EVI 27.05.2010; BO1IE8_v1;ENUS),4,4,4,4,1983, ,1,1,2,2,1,1,2,2
2.66666666666667,2,3,3,3.83333333333333,5,2,4,4,5,3,26,3.16666666666667,3,3,4,4,3,2,4.75,5,4,5,5,Firefox,0,0,8,2, ,4,3,5,5,3,4,2,4,5,4,3,3,3,3.6,10,3.5,3,2,3,5,5,3,476.483,.4911111,4.5,5,3,5,5,3,3,5,6,4.66666666666667,11/29/2011,11.1.102,6,20,7,2,3,1,3,5,5,5,4.5,1,1,74.242.239.75,1,0,0,4,4, ,2,rv:8.0,-.396553623111111,4.83333333333333,5,4,5,6,4,5,4,4.66666666666667,5,5,4,R_bQxxkSNtZl2NFmQ,6,6,5,5,5.5,1280x720,3.75,4,3,3,5,0,11/29/2011,82,0:29:28,5.8,6,6,6,6,5,Felt like I was just at a normal website about Australia., ,3.516, ,479.988, ,479.999, ,4.5,5,4,4,5,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,2.66666666666667,2,3,3,1985, ,1,1,2,2,1,1,2,2
1,1,1,1,2,4,1,4,1,1,1,25,3,4,4,1,1,7,1,1,1,1,1,1,Safari,1,0,4,1, ,1,1,1,1,7,1,2,2.2,2,2,2,1,1,1.6,3,1.66666666666667,1,2,2,3,1,1,45.176,.27333334,2,5,1,1,1,3,7,7,7,7,11/28/2011,10.3.185,4,15,18,3,1,1,4,7,6,4,5.25,1,1,107.2.164.51,0,0,0,6,5, ,40,Android 2.3.1,-3.84099806755556,1,1,1,1,1,1,1,5.5,7,7,7,7,R_b2ycH9FRTNE581e,7,7,7,7,7,800x506,7,7,7,7,7,1,11/28/2011,61,0:16:23,1,1,1,1,1,1,It  / was crap, ,11.727, ,11.727, ,56.903, ,1.5,3,1,1,1,"Mozilla/5.0 (Linux; U; Android 2.3.1; en-us; NXM803HC Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",6,6,6,6,1986, ,2,1,2,2,2,1,2,2
6,6,6,6,6.16666666666667,6,5,7,5,7,7,28,4.66666666666667,6,6,3,3,5,5,6.25,6,6,6,7,Firefox,0,0,8,2, ,6,3,5,5,3,3,2,4.4,7,7,6,2,7,5.8,40,3.33333333333333,4,2,6,2,4,2,64.492,.3,6.75,7,7,7,6,4,6,6,7,6.33333333333333,12/6/2011,11.1.102,1,45,2,6,5,1,4,5,4,4,4.25,1,1,70.90.108.217,1,0,0,5,4, ,4,rv:8.0,.464557488,5.66666666666667,6,6,6,6,6,4,4.5,6,6,6,6,R_1GPkG2GXuFIqI9S,5,5,5,5,5,1280x1024,2.5,3,3,2,2,1,12/6/2011,293,0:17:59,5.8,3,7,7,7,5,"easy reading, enjoyable",nope,5.942, ,70.4089999999999, ,70.434, ,6,6,6,6,6,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0,6,6,6,6,1983, ,1,2,1,1,1,2,1,1
4.33333333333333,4,4,5,4.33333333333333,5,4,4,5,4,4,30,3.66666666666667,5,4,3,3,4,3,4.75,5,5,4,5,Safari,1,0,4,2, ,6,6,6,6,4,6,2,5.6,6,6,6,6,6,6,25,4.5,5,4,5,4,4,5,174.36,.3661111,6.25,6,7,6,6,3,6,6,6,6,11/28/2011,10.1.106,0,15,5,6,5,1,4,4,3,3,3.5,0,0,166.147.118.101,0,0,0,4,4, ,0,Android 2.3.3,.936779710222222,4.83333333333333,5,5,5,5,4,5,4,6,6,6,6,R_emnkjRgNSwap28k,3,3,3,4,3.25,800x1201,2.5,3,3,2,2,0,11/28/2011,1,0:21:58,5.8,6,6,6,6,5,IT WAS OK.,NO.,4.157, ,19.307, ,178.517, ,6,6,6,6,6,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; HTC-A9192/1.0 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",4.66666666666667,4,5,5,1981, ,1,2,1,1,1,2,1,1
5.66666666666667,6,5,6,3.83333333333333,4,5,3,3,2,6,26,5.33333333333333,7,7,7,5,4,2,5.25,7,5,4,5,MSIE,0,0,9, ,2,3,5,4,5,2,7, ,3.8,7,7,4,5,3,5.2,10,3.83333333333333,1,7,1,5,6,3,721.392,.5069444,7,7,7,7,7,3,7,7,6,6.66666666666667,11/29/2011,10.3.181.26,2,8,0,3,6,0,7,6,5,6,6,0,0,99.107.157.1,1,0,0,7,4, ,1,Windows NT 6.0,.714557488,5.5,5,4,6,7,6,5,5.5,6.33333333333333,5,7,7,R_cTILE2PBMJHPDdG,2,4,4,5,3.75,1024x768,1,1,1,1,1,1,11/29/2011,394,0:30:24,6.4,7,7,7,4,7,"i thought it was very interesting, easy to access...but very expensive to buy.",no, ,6.222, ,727.612999999999, ,727.614,6,4,7,6,7,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; BRI/1; BRI/2; yie9),7,7,7,7,1985, ,2,2,1,1,2,2,1,1
5,5,5,5,5,5,5,5,5,5,5,29,4,4,4,4,4,4,4,4,4,4,4,4,Chrome,0,0,15.0.874.121,5, ,6,6,2,6,2,6,2,4.4,6,6,6,6,6,6,32,4,4,4,4,4,4,4,57.081,.24138889,5,5,5,5,5,4,6,6,6,6,12/5/2011,11.1.102,1,15,5,3,5,1,3,3,3,3,3,1,1,99.92.156.119,1,0,0,2,2, ,4,Intel Mac OS X 10_7_2,.936779710222222,4,4,4,4,4,4,4,2,6,6,6,6,R_ehrsWeAzot5oZmI,5,5,5,5,5,1280x800,6,6,6,6,6,1,12/5/2011,286,0:14:29,5.2,6,6,6,6,2,it's just fine,no,1.839, ,58.917, ,58.92, ,4,4,4,4,4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5,5,5,5,1982, ,1,2,1,2,1,2,1,2
6,5,6,7,4.5,5,3,5,5,6,3,25,4.33333333333333,4,5,6,5,4,2,4.75,5,5,4,5,Safari,1,0,4,1, ,5,5,4,6,4,5,2,4.8,5,5,5,3,4,4.4,20,4.16666666666667,4,5,4,6,3,3,63.159,.24694444,5,5,4,6,5,4,5,4,6,5,11/28/2011,11.0.1,2,3,3,1,4,1,3,5,4,4,4,1,1,71.239.128.76,0,0,0,2,3, ,0,Android 2.2.3,.131224154666667,4.83333333333333,6,5,5,4,5,4,2.5,3.33333333333333,4,3,3,R_3aSRESU9CC1iWSE,3,2,4,1,2.5,800x1220,5,5,6,4,5,1,11/28/2011,28,0:14:48,6,6,7,6,5,6,It was informative,No thank you,9.294, ,9.294, ,72.453, ,6.5,6,7,6,7,"Mozilla/5.0 (Linux; U; Android 2.2.3; en-us; Droid Build/FRK76) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",4.33333333333333,5,4,4,1986, ,1,2,1,2,1,2,1,2
